combination,SumsOfSqs,MeanSqs,F.Model,R2,P.value,P.value.corrected
2009 <-> 2010,8.75097717085908,8.75097717085908,2.58852322073821,0.0532743752877304,0.003996003996004,0.00599400599400599
2009 <-> 2011,19.0142535593752,19.0142535593752,5.08643359410191,0.0995652512076935,0.000999000999000999,0.00161377084454008
2009 <-> 2012,24.6704748850312,24.6704748850312,6.69757885059165,0.127094621739277,0.000999000999000999,0.00161377084454008
2009 <-> 2013,19.1153064534924,19.1153064534924,6.60087308801106,0.125489800843544,0.000999000999000999,0.00161377084454008
2009 <-> 2014,24.7471324798936,24.7471324798936,6.54197064143314,0.124509426684395,0.000999000999000999,0.00161377084454008
2009 <-> 2015,24.2398880326411,24.2398880326411,5.67523194747197,0.109824992236916,0.000999000999000999,0.00161377084454008
2010 <-> 2011,11.8233457911923,11.8233457911923,3.55923423466558,0.0718177810781421,0.000999000999000999,0.00161377084454008
2010 <-> 2012,17.9429116911416,17.9429116911416,5.49192958862639,0.106656123250806,0.000999000999000999,0.00161377084454008
2010 <-> 2013,13.4271355271303,13.4271355271303,5.41520350525758,0.105323000514893,0.000999000999000999,0.00161377084454008
2010 <-> 2014,19.8722177376459,19.8722177376459,5.90297418626892,0.11373094276032,0.000999000999000999,0.00161377084454008
2010 <-> 2015,21.8580649192516,21.8580649192516,5.67031840483282,0.109740341842029,0.000999000999000999,0.00161377084454008
2011 <-> 2012,7.38730383669297,7.38730383669297,2.0380527095762,0.0424257977711475,0.014985014985015,0.018510900863842
2011 <-> 2013,6.70447512365698,6.70447512365698,2.36316766643964,0.0488629628799004,0.004995004995005,0.00699300699300699
2011 <-> 2014,11.601873973138,11.601873973138,3.11541568019388,0.0634305062280108,0.000999000999000999,0.00161377084454008
2011 <-> 2015,17.3630781607721,17.3630781607721,4.1219289617156,0.0822380352692338,0.000999000999000999,0.00161377084454008
2012 <-> 2013,5.0672129787959,5.0672129787959,1.82120958105864,0.0380837205293108,0.043956043956044,0.0472027972027972
2012 <-> 2014,6.85849601487911,6.85849601487911,1.86916482328863,0.039047366508038,0.044955044955045,0.0472027972027972
2012 <-> 2015,18.5843533708586,18.5843533708586,4.46993956660398,0.0885663744594959,0.000999000999000999,0.00161377084454008
2013 <-> 2014,2.4818909847452,2.4818909847452,0.861268989448858,0.0183791222052219,0.557442557442557,0.557442557442557
2013 <-> 2015,10.106885811412,10.106885811412,2.99906378474169,0.0612065528010271,0.016983016983017,0.0198135198135198
2014 <-> 2015,11.5981632635958,11.5981632635958,2.72451554089162,0.0559167291998028,0.00899100899100899,0.0118006993006993
